Key,Summary,Status,Priority,Affected Versions
HIVE-25600,Compaction job creates redundant base/delta folder within base/delta folder,Closed,Minor,"3.1.0, 3.1.2"
HIVE-25582,Empty result when using offset limit with MR,Closed,Major,4.0.0
HIVE-25577,unix_timestamp() is ignoring the time zone value,Closed,Minor,"3.1.2, 4.0.0"
HIVE-25570,Hive should send full URL path for authorization for the command insert overwrite location,Closed,Major,4.0.0
HIVE-25561,Killed task should not commit file.,Closed,Major,"1.2.1, 2.3.8, 2.4.0"
HIVE-25558,"create two tables and want to make some partitions on the table ,joins,union also ",Resolved,Minor,3.1.1
HIVE-25547,ALTER VIEW AS SELECT statement should create authorizable events in HiveServer2,Closed,Major,4.0.0
HIVE-25538,CommitTxn replay failing during incremental run,Resolved,Critical,4.0.0
HIVE-25530,AssertionError when query involves multiple JDBC tables and views,Closed,Major,4.0.0
HIVE-25499,select unix_timestamp(dt) from table and select unix_timestamp(constant date)  are different,Resolved,Major,3.1.2
HIVE-25458,unix_timestamp() with string input give wrong result,Closed,Minor,3.1.2
HIVE-25443,Arrow SerDe Cannot serialize/deserialize complex data types When there are more than 1024 values,Closed,Major,"3.1.0, 3.0.0, 3.1.1, 3.1.2"
HIVE-25416,Hive metastore memory leak because datanucleus-api-jdo bug,Closed,Major,3.1.2
HIVE-25408,AlterTableSetOwnerAnalyzer should send Hive Privilege Objects for Authorization. ,Resolved,Major,4.0.0
HIVE-25386,hive-storage-api should not have guava compile dependency,Resolved,Blocker,4.0.0
HIVE-25384,Bump ORC to 1.6.9,Closed,Major,4.0.0
HIVE-25382,"""No space left on device"" error when running show database",Resolved,Major,2.3.2
HIVE-25316,Map partition key columns when pushing TNK op through select,Resolved,Major,4.0.0
HIVE-25299,Casting timestamp to numeric data types is incorrect for non-UTC timezones,Closed,Major,"3.1.2, 4.0.0"
HIVE-25298,LAG function get java.lang.ClassCastException: org.apache.hadoop.hive.common.type.HiveDecimal cannot be cast to org.apache.hadoop.hive.serde2.io.HiveDecimalWritable,Closed,Major,3.1.2
HIVE-25268,date_format udf returns wrong results for dates prior to 1900 if the local timezone is other than UTC,Closed,Major,"3.1.0, 3.1.1, 3.1.2, 4.0.0"
HIVE-25262,Hive lineage dir does not have any log？,Resolved,Minor,2.1.1
HIVE-25242, Query performs extremely slow with hive.vectorized.adaptor.usage.mode = chosen,Closed,Major,4.0.0
HIVE-25219,Backward incompatible timestamp serialization in Avro for certain timezones,Closed,Major,3.1.0
HIVE-25188,JsonSerDe: Unable to read the string value from a nested json,Resolved,Major,4.0.0
HIVE-25170,Data error in constant propagation caused by wrong colExprMap generated in SemanticAnalyzer,Closed,Major,3.1.2
HIVE-25163,UnsupportedTemporalTypeException when starting llap,Closed,Major,4.0.0
HIVE-25156,reduce数设置为2后，查出的数据减少一半,Resolved,Major,3.1.2
HIVE-25150,Tab characters are not removed before decimal conversion similar to space character which is fixed as part of HIVE-24378,Closed,Major,4.0.0
HIVE-25117,Vector PTF ClassCastException with Decimal64,Closed,Major,4.0.0
HIVE-25104,Backward incompatible timestamp serialization in Parquet for certain timezones,Closed,Major,3.1.0
HIVE-25093,date_format() UDF is returning output in UTC time zone only ,Closed,Minor,3.1.2
HIVE-25060,Hive Compactor doesn´t launch cleaner,Resolved,Major,3.1.1
HIVE-25041,"During ""schematool --verbose -dbType derby -initSchema"" I'm getting ""utocommit on"" (with a missing ''a"").",Resolved,Blocker,3.1.2
HIVE-25009,Compaction worker and initiator version check can cause NPE if the COMPACTION_QUEUE is empty,Closed,Major,4.0.0
HIVE-24964,Backport HIVE-22453: Describe table unnecessarily fetches partitions,Closed,Minor,"3.0.0, 3.1.1, 3.1.2"
HIVE-24957,Wrong results when subquery has COALESCE in correlation predicate,Closed,Major,4.0.0
HIVE-24951,Table created with Uppercase name using CTAS does not produce result for select queries,Closed,Major,4.0.0
HIVE-24949,Fail to rename a partition with customized catalog,Closed,Major,3.1.2
HIVE-24944,"When the default engine of the hiveserver is MR and the tez engine is set by the client, the client TEZ progress log cannot be printed normally",Resolved,Major,"3.1.0, 4.0.0"
HIVE-24928,In case of non-native tables use basic statistics from HiveStorageHandler,Closed,Major,4.0.0
HIVE-24915,Distribute by with sort by clause when used with constant parameter for sort produces wrong result.,Resolved,Major,2.3.4
HIVE-24907,Wrong results with LEFT JOIN and subqueries with UNION and GROUP BY,Closed,Major,"2.4.0, 3.2.0"
HIVE-24902,Incorrect result after fold CASE into COALESCE,Closed,Major,"3.1.2, 4.0.0"
HIVE-24898,Beeline does not honor the credential provided in property-file,Closed,Major,4.0.0
HIVE-24882,Compaction task reattempt fails with FileAlreadyExistsException for DeleteEventWriter,Closed,Major,4.0.0
HIVE-24876,Disable /longconf.jsp page on HS2 web UI for non admin users,Closed,Major,4.0.0
