Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic_x,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic_x,Version,CommitId,BaseFileName,AvgCyclomatic_y,SumCyclomatic_y,SumDeclMethod,Bogue
File,VectorMapJoinInnerBigOnlyGenerateResultOperator.java,25.0,4.0,13.0,9.0,3.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,9.0,9.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,335.0,55.0,144.0,55.0,76.0,136.0,0.0,0.0,0.0,84.0,110.0,51.0,0.0,62.0,0.0,6.0,0.0,3.0,0.0,0.0,"0,94",27.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinInnerBigOnlyGenerateResultOperator,3.0,27.0,0.0,1
File,VectorMapJoinInnerBigOnlyLongOperator.java,64.0,12.0,36.0,15.0,8.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,408.0,82.0,208.0,51.0,143.0,118.0,0.0,0.0,0.0,112.0,147.0,52.0,0.0,97.0,0.0,38.0,0.0,6.0,0.0,0.0,"0,57",42.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinInnerBigOnlyLongOperator,8.4,42.0,0.0,1
File,VectorMapJoinInnerBigOnlyMultiKeyOperator.java,64.0,12.0,37.0,15.0,8.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,417.0,86.0,211.0,53.0,145.0,120.0,0.0,0.0,0.0,120.0,154.0,55.0,0.0,106.0,0.0,37.0,0.0,6.0,0.0,0.0,"0,57",41.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinInnerBigOnlyMultiKeyOperator,8.2,41.0,0.0,1
File,VectorMapJoinInnerBigOnlyStringOperator.java,62.0,12.0,34.0,15.0,8.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,394.0,82.0,195.0,56.0,138.0,117.0,0.0,0.0,0.0,108.0,139.0,57.0,0.0,84.0,0.0,34.0,0.0,6.0,0.0,0.0,"0,60",38.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinInnerBigOnlyStringOperator,7.6,38.0,0.0,1
File,VectorMapJoinInnerGenerateResultOperator.java,18.0,3.0,11.0,4.0,3.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,7.0,7.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,235.0,38.0,109.0,48.0,55.0,88.0,0.0,0.0,0.0,67.0,86.0,47.0,0.0,40.0,0.0,6.0,0.0,3.0,0.0,0.0,"0,81",18.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinInnerGenerateResultOperator,2.571428571428572,18.0,0.0,1
File,VectorMapJoinInnerLongOperator.java,63.0,12.0,37.0,14.0,8.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,405.0,82.0,211.0,50.0,147.0,112.0,0.0,0.0,0.0,115.0,150.0,51.0,0.0,101.0,0.0,38.0,0.0,6.0,0.0,0.0,"0,53",42.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinInnerLongOperator,8.4,42.0,0.0,1
File,VectorMapJoinInnerMultiKeyOperator.java,64.0,12.0,37.0,14.0,8.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,413.0,85.0,214.0,52.0,149.0,114.0,0.0,0.0,0.0,123.0,157.0,54.0,0.0,110.0,0.0,37.0,0.0,6.0,0.0,0.0,"0,53",41.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinInnerMultiKeyOperator,8.2,41.0,0.0,1
File,VectorMapJoinInnerStringOperator.java,60.0,12.0,35.0,14.0,8.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,387.0,80.0,197.0,54.0,141.0,110.0,0.0,0.0,0.0,110.0,141.0,55.0,0.0,88.0,0.0,34.0,0.0,6.0,0.0,0.0,"0,56",38.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinInnerStringOperator,7.6,38.0,0.0,1
File,VectorMapJoinLeftSemiGenerateResultOperator.java,18.0,3.0,10.0,5.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,8.0,8.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,232.0,40.0,102.0,43.0,49.0,90.0,0.0,0.0,0.0,60.0,79.0,40.0,0.0,42.0,0.0,6.0,0.0,3.0,0.0,0.0,"0,88",19.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinLeftSemiGenerateResultOperator,2.375,19.0,0.0,1
File,VectorMapJoinLeftSemiLongOperator.java,62.0,12.0,34.0,15.0,8.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,398.0,82.0,198.0,50.0,133.0,118.0,0.0,0.0,0.0,105.0,140.0,51.0,0.0,91.0,0.0,38.0,0.0,6.0,0.0,0.0,"0,60",42.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,VectorMapJoinLeftSemiLongOperator,8.4,42.0,0.0,1
